1001,TAN,IT,13000.000000,11/1/2025,BOSS
1002,LEE,TECHNICIAN,2000.000000,12/11/2024,IT
1003,WONG,FINANCE,11000.000000,1/1/2026,SUPERVISOR
1004,CHEN,IT,10500.000000,2/1/2026,STAFF
1005,KOH,HR,10000.000000,3/1/2026,STAFF
1006,TEO,FINANCE,9500.000000,4/1/2026,STAFF
1007,LIM,IT,9000.000000,5/1/2026,STAFF
1008,NG,HR,8500.000000,6/1/2026,STAFF
1009,GOH,FINANCE,8000.000000,7/1/2026,STAFF
1010,ONG,IT,7500.000000,8/1/2026,STAFF
1011,TAN,HR,7000.000000,9/1/2026,STAFF
1012,KIM,FINANCE,6500.000000,10/1/2026,STAFF
1013,PARK,IT,6000.000000,11/1/2026,STAFF
1014,CHOI,HR,5500.000000,12/1/2026,STAFF
1015,JUNG,FINANCE,5000.000000,1/1/2027,STAFF
1016,MIN,IT,4800.000000,2/1/2027,STAFF
1017,SEO,HR,4600.000000,3/1/2027,STAFF
1018,SHIN,FINANCE,4400.000000,4/1/2027,STAFF
1019,YOO,IT,4200.000000,5/1/2027,STAFF
1020,JEON,HR,4000.000000,6/1/2027,STAFF
1021,HA,FINANCE,3800.000000,7/1/2027,STAFF
1022,MOON,IT,3600.000000,8/1/2027,STAFF
1023,SON,HR,3400.000000,9/1/2027,STAFF
1024,JANG,FINANCE,3200.000000,10/1/2027,STAFF
1025,YANG,IT,3000.000000,11/1/2027,STAFF
1026,IM,HR,2900.000000,12/1/2027,STAFF
1027,BAEK,FINANCE,2800.000000,1/1/2028,STAFF
1028,KWON,IT,2700.000000,2/1/2028,STAFF
1029,RYU,HR,2600.000000,3/1/2028,STAFF
1030,HAN,FINANCE,2500.000000,4/1/2028,STAFF
1031,NAM,IT,2400.000000,5/1/2028,STAFF
1032,OH,HR,2300.000000,6/1/2028,STAFF
1033,SHIM,FINANCE,2200.000000,7/1/2028,STAFF
1034,HWANG,IT,2100.000000,8/1/2028,STAFF
1035,JEONG,HR,2000.000000,9/1/2028,STAFF
1036,CHA,FINANCE,1900.000000,10/1/2028,STAFF
1037,MA,IT,1800.000000,11/1/2028,STAFF
1038,HEO,HR,1700.000000,12/1/2028,STAFF
1039,KO,FINANCE,1600.000000,1/1/2029,STAFF
1040,SIM,IT,1500.000000,2/1/2029,STAFF
1041,YUN,HR,1400.000000,3/1/2029,STAFF
1042,JOO,FINANCE,1300.000000,4/1/2029,STAFF
1043,DOH,IT,1200.000000,5/1/2029,STAFF
1044,NO,HR,1100.000000,6/1/2029,STAFF
1045,BANG,FINANCE,1000.000000,7/1/2029,STAFF
1046,HYUN,IT,1000.000000,8/1/2029,STAFF
1047,SUNG,HR,1000.000000,9/1/2029,STAFF
1048,JIN,FINANCE,1000.000000,10/1/2029,STAFF
1049,TAE,IT,1000.000000,11/1/2029,STAFF
1050,HYUK,HR,1000.000000,12/1/2029,STAFF
1051,chong zhi hao,Security Guard,3000.000000,22/06/2025,Security
1052,TAN,HR,13000.000000,29/11/2024,IT
